,id,select,xo,mutate
0,#1,ranking_sel,two_point_xo,swap_mutation
1,#2,ranking_sel,two_point_xo,inversion_mutation
2,#3,ranking_sel,two_point_xo,scramble_mutation
3,#4,ranking_sel,single_point_xo,swap_mutation
4,#5,ranking_sel,single_point_xo,inversion_mutation
5,#6,ranking_sel,single_point_xo,scramble_mutation
6,#7,ranking_sel,uniform_xo,swap_mutation
7,#8,ranking_sel,uniform_xo,inversion_mutation
8,#9,ranking_sel,uniform_xo,scramble_mutation
9,#10,tournament_sel,two_point_xo,swap_mutation
10,#11,tournament_sel,two_point_xo,inversion_mutation
11,#12,tournament_sel,two_point_xo,scramble_mutation
12,#13,tournament_sel,single_point_xo,swap_mutation
13,#14,tournament_sel,single_point_xo,inversion_mutation
14,#15,tournament_sel,single_point_xo,scramble_mutation
15,#16,tournament_sel,uniform_xo,swap_mutation
16,#17,tournament_sel,uniform_xo,inversion_mutation
17,#18,tournament_sel,uniform_xo,scramble_mutation
18,#19,fps,two_point_xo,swap_mutation
19,#20,fps,two_point_xo,inversion_mutation
20,#21,fps,two_point_xo,scramble_mutation
21,#22,fps,single_point_xo,swap_mutation
22,#23,fps,single_point_xo,inversion_mutation
23,#24,fps,single_point_xo,scramble_mutation
24,#25,fps,uniform_xo,swap_mutation
25,#26,fps,uniform_xo,inversion_mutation
26,#27,fps,uniform_xo,scramble_mutation
